,detected,gfsk_gain_mu,gfsk_omega_limit,processed,rf_gain,sensivity',sqlch_thrsh
52,305,0.2,0.035,82,50,0.9999999999999999,-90
53,302,0.4,0.09499999999999999,80,60,0.7999999999999999,-150
54,264,0.1,0.11499999999999998,61,60,0.7999999999999999,-70
55,240,0.5,0.11499999999999998,60,40,0.9999999999999999,-90
56,374,0.8999999999999999,0.05500000000000001,81,70,0.9999999999999999,-70
57,281,0.30000000000000004,0.075,71,60,0.7,-50
58,292,0.6,0.10499999999999998,72,70,1.0999999999999999,-70
59,281,0.6,0.025,68,50,0.7,-70
60,351,0.7,0.075,63,60,0.8999999999999999,-150
61,307,0.2,0.05500000000000001,91,40,1.0999999999999999,-110
62,329,0.7,0.075,79,60,0.9999999999999999,-110
63,415,0.2,0.09499999999999999,111,30,0.8999999999999999,-130
64,334,0.1,0.11499999999999998,73,50,0.9999999999999999,-150
65,331,0.1,0.05500000000000001,83,50,1.0999999999999999,-50
66,309,0.6,0.075,79,60,0.7999999999999999,-150
67,238,0.8999999999999999,0.025,53,40,1.0999999999999999,-70
68,275,0.4,0.10499999999999998,86,50,0.7999999999999999,-50
69,144,0.8999999999999999,0.075,24,30,1.0999999999999999,-130
70,219,0.6,0.065,52,40,0.9999999999999999,-150
71,301,0.2,0.10499999999999998,72,40,0.9999999999999999,-130
72,222,0.1,0.065,60,70,0.7,-90
73,245,0.7999999999999999,0.045000000000000005,55,40,0.7,-70
74,226,0.7,0.075,46,60,0.7999999999999999,-50
75,240,0.8999999999999999,0.10499999999999998,67,30,0.9999999999999999,-130
76,237,0.4,0.10499999999999998,53,40,0.7,-110
77,117,0.5,0.11499999999999998,21,30,0.9999999999999999,-130
78,187,0.30000000000000004,0.08499999999999999,50,30,0.9999999999999999,-70
79,246,0.7999999999999999,0.025,57,60,0.9999999999999999,-150
80,162,0.7999999999999999,0.09499999999999999,28,30,0.7,-130
81,218,0.2,0.015,45,70,0.7999999999999999,-70
82,432,0.1,0.065,98,40,0.9999999999999999,-50
83,447,0.6,0.035,102,40,1.0999999999999999,-50
84,308,0.5,0.09499999999999999,80,40,0.7,-110
85,411,0.7,0.09499999999999999,79,60,0.9999999999999999,-30
86,0,0.6,0.045000000000000005,0,30,1.0999999999999999,-30
87,299,0.2,0.10499999999999998,92,70,1.0999999999999999,-90
88,0,0.2,0.09499999999999999,0,30,0.7,-30
89,234,0.30000000000000004,0.05500000000000001,76,50,0.9999999999999999,-50
90,213,0.7999999999999999,0.11499999999999998,51,70,1.0999999999999999,-110
91,155,0.7,0.045000000000000005,36,30,0.8999999999999999,-130
92,228,0.6,0.05500000000000001,59,30,1.0999999999999999,-70
93,262,0.5,0.10499999999999998,74,70,1.0999999999999999,-70
94,269,0.2,0.035,71,50,0.7999999999999999,-50
95,272,0.2,0.09499999999999999,58,50,0.9999999999999999,-110
96,251,0.2,0.08499999999999999,65,30,0.8999999999999999,-110
97,435,0.5,0.05500000000000001,94,60,0.7999999999999999,-30
98,303,0.7,0.11499999999999998,83,70,0.7999999999999999,-90
99,268,0.2,0.10499999999999998,58,70,0.7,-110
100,196,0.7,0.08499999999999999,47,50,1.0999999999999999,-50
101,234,0.2,0.035,67,70,0.7999999999999999,-70
102,174,0.7,0.025,37,30,0.9999999999999999,-130
103,204,0.7,0.075,47,30,0.8999999999999999,-90
104,66,0.5,0.10499999999999998,15,40,1.0999999999999999,-30
105,250,0.30000000000000004,0.11499999999999998,49,70,0.8999999999999999,-30
106,360,0.8999999999999999,0.05500000000000001,73,40,0.9999999999999999,-130
107,285,0.7999999999999999,0.08499999999999999,63,40,0.7999999999999999,-90
108,258,0.4,0.015,65,60,1.0999999999999999,-90
109,441,0.6,0.025,112,70,0.7999999999999999,-130
110,272,0.5,0.08499999999999999,65,40,0.7999999999999999,-150
111,302,0.7999999999999999,0.045000000000000005,70,70,0.7999999999999999,-70
112,314,0.4,0.10499999999999998,64,70,1.0999999999999999,-70
113,402,0.7,0.08499999999999999,115,40,0.9999999999999999,-50
114,419,0.1,0.11499999999999998,92,40,0.7999999999999999,-50
115,260,0.30000000000000004,0.09499999999999999,55,70,0.9999999999999999,-50
116,65,0.2,0.015,20,60,0.8999999999999999,-70
117,195,0.8999999999999999,0.10499999999999998,44,30,0.8999999999999999,-130
118,87,0.7999999999999999,0.075,23,40,0.7,-30
119,187,0.8999999999999999,0.08499999999999999,41,40,0.9999999999999999,-150
120,22,0.30000000000000004,0.015,9,40,0.8999999999999999,-30
121,203,0.5,0.11499999999999998,42,40,1.0999999999999999,-90
122,347,0.8999999999999999,0.08499999999999999,92,60,0.7,-30
123,217,0.8999999999999999,0.08499999999999999,53,60,0.8999999999999999,-50
124,234,0.8999999999999999,0.075,43,40,0.8999999999999999,-130
125,405,0.5,0.10499999999999998,101,40,0.7,-50
126,1,0.7999999999999999,0.015,1,40,0.9999999999999999,-30
127,232,0.2,0.065,61,40,0.9999999999999999,-150
128,292,0.7,0.015,60,50,1.0999999999999999,-130
129,186,0.2,0.05500000000000001,37,30,0.9999999999999999,-70
130,0,0.8999999999999999,0.025,0,30,0.7999999999999999,-30
131,231,0.6,0.035,41,40,0.7999999999999999,-110
132,286,0.30000000000000004,0.065,67,60,0.7,-150
133,262,0.8999999999999999,0.11499999999999998,60,50,0.7,-110
134,183,0.30000000000000004,0.035,29,60,0.7,-130
135,112,0.8999999999999999,0.11499999999999998,18,30,0.9999999999999999,-50
136,299,0.5,0.035,80,60,0.9999999999999999,-70
137,240,0.8999999999999999,0.11499999999999998,55,40,0.8999999999999999,-150
138,15,0.2,0.045000000000000005,3,40,0.7,-30
139,186,0.2,0.065,40,30,0.7,-130
140,244,0.6,0.045000000000000005,59,50,0.9999999999999999,-150
141,252,0.4,0.05500000000000001,55,30,1.0999999999999999,-150
142,299,0.1,0.075,73,60,1.0999999999999999,-90
143,350,0.4,0.025,112,50,0.8999999999999999,-110
144,295,0.2,0.11499999999999998,68,40,0.9999999999999999,-130
145,283,0.1,0.035,75,30,1.0999999999999999,-110
146,306,0.4,0.05500000000000001,72,70,0.9999999999999999,-70
147,315,0.30000000000000004,0.015,76,30,1.0999999999999999,-90
